id,dice,iou
BraTS20_Training_296_axial_033,0.001388,0.000702
BraTS20_Training_296_axial_034,0.002423,0.001221
BraTS20_Training_296_axial_035,0.007706,0.003876
BraTS20_Training_296_axial_036,0.018279,0.009231
BraTS20_Training_296_axial_037,0.022316,0.011291
BraTS20_Training_296_axial_038,0.029866,0.015167
BraTS20_Training_296_axial_039,0.037154,0.018936
BraTS20_Training_296_axial_040,0.052610,0.027023
BraTS20_Training_296_axial_041,0.063972,0.033050
BraTS20_Training_296_axial_042,0.075908,0.039459
BraTS20_Training_296_axial_043,0.082859,0.043227
BraTS20_Training_296_axial_044,0.087084,0.045532
BraTS20_Training_296_axial_045,0.090873,0.047607
BraTS20_Training_296_axial_046,0.096529,0.050719
BraTS20_Training_296_axial_047,0.103662,0.054671
BraTS20_Training_296_axial_048,0.109842,0.058120
BraTS20_Training_296_axial_049,0.114519,0.060744
BraTS20_Training_296_axial_050,0.117038,0.062163
BraTS20_Training_296_axial_051,0.120952,0.064376
BraTS20_Training_296_axial_052,0.123857,0.066024
BraTS20_Training_296_axial_053,0.126860,0.067733
BraTS20_Training_296_axial_054,0.128090,0.068435
BraTS20_Training_296_axial_055,0.128331,0.068572
BraTS20_Training_296_axial_056,0.128090,0.068435
BraTS20_Training_296_axial_057,0.127636,0.068175
BraTS20_Training_296_axial_058,0.127662,0.068190
BraTS20_Training_296_axial_059,0.128251,0.068526
BraTS20_Training_296_axial_060,0.128838,0.068862
BraTS20_Training_296_axial_061,0.128892,0.068892
BraTS20_Training_296_axial_062,0.129639,0.069320
BraTS20_Training_296_axial_063,0.128892,0.068892
BraTS20_Training_296_axial_064,0.128090,0.068435
BraTS20_Training_296_axial_065,0.127395,0.068038
BraTS20_Training_296_axial_066,0.126217,0.067367
BraTS20_Training_296_axial_067,0.125359,0.066878
BraTS20_Training_296_axial_068,0.124635,0.066466
BraTS20_Training_296_axial_069,0.123293,0.065703
BraTS20_Training_296_axial_070,0.120467,0.064101
BraTS20_Training_296_axial_071,0.117281,0.062301
BraTS20_Training_296_axial_072,0.114763,0.060882
BraTS20_Training_296_axial_073,0.112808,0.059783
BraTS20_Training_296_axial_074,0.110823,0.058669
BraTS20_Training_296_axial_075,0.108342,0.057281
BraTS20_Training_296_axial_076,0.106073,0.056014
BraTS20_Training_296_axial_077,0.102866,0.054229
BraTS20_Training_296_axial_078,0.099923,0.052596
BraTS20_Training_296_axial_079,0.095478,0.050140
BraTS20_Training_296_axial_080,0.089760,0.046996
BraTS20_Training_296_axial_081,0.083924,0.043807
BraTS20_Training_296_axial_082,0.075710,0.039352
BraTS20_Training_296_axial_083,0.069987,0.036270
